,id,date,store_nbr,family,sales,onpromotion
2596374,2596374,2017-01-01,1,AUTOMOTIVE,0.0,0
2596375,2596375,2017-01-01,1,BABY CARE,0.0,0
2596376,2596376,2017-01-01,1,BEAUTY,0.0,0
2596377,2596377,2017-01-01,1,BEVERAGES,0.0,0
2596378,2596378,2017-01-01,1,BOOKS,0.0,0
2598156,2598156,2017-01-02,1,AUTOMOTIVE,5.0,0
2598157,2598157,2017-01-02,1,BABY CARE,0.0,0
2598158,2598158,2017-01-02,1,BEAUTY,0.0,0
2598159,2598159,2017-01-02,1,BEVERAGES,1434.0,31
2598160,2598160,2017-01-02,1,BOOKS,0.0,0
2599938,2599938,2017-01-03,1,AUTOMOTIVE,4.0,0
2599939,2599939,2017-01-03,1,BABY CARE,0.0,0
2599940,2599940,2017-01-03,1,BEAUTY,4.0,1
2599941,2599941,2017-01-03,1,BEVERAGES,3081.0,42
2599942,2599942,2017-01-03,1,BOOKS,2.0,0
2601720,2601720,2017-01-04,1,AUTOMOTIVE,1.0,0
2601721,2601721,2017-01-04,1,BABY CARE,0.0,0
2601722,2601722,2017-01-04,1,BEAUTY,4.0,1
2601723,2601723,2017-01-04,1,BEVERAGES,3039.0,54
2601724,2601724,2017-01-04,1,BOOKS,2.0,0
2603502,2603502,2017-01-05,1,AUTOMOTIVE,2.0,0
2603503,2603503,2017-01-05,1,BABY CARE,0.0,0
2603504,2603504,2017-01-05,1,BEAUTY,3.0,2
2603505,2603505,2017-01-05,1,BEVERAGES,2617.0,32
2603506,2603506,2017-01-05,1,BOOKS,0.0,0
2605284,2605284,2017-01-06,1,AUTOMOTIVE,2.0,0
2605285,2605285,2017-01-06,1,BABY CARE,0.0,0
2605286,2605286,2017-01-06,1,BEAUTY,10.0,2
2605287,2605287,2017-01-06,1,BEVERAGES,2761.0,39
2605288,2605288,2017-01-06,1,BOOKS,0.0,0
2607066,2607066,2017-01-07,1,AUTOMOTIVE,5.0,0
2607067,2607067,2017-01-07,1,BABY CARE,0.0,0
2607068,2607068,2017-01-07,1,BEAUTY,6.0,1
2607069,2607069,2017-01-07,1,BEVERAGES,2503.0,30
2607070,2607070,2017-01-07,1,BOOKS,0.0,0
2608848,2608848,2017-01-08,1,AUTOMOTIVE,0.0,0
2608849,2608849,2017-01-08,1,BABY CARE,0.0,0
2608850,2608850,2017-01-08,1,BEAUTY,1.0,1
2608851,2608851,2017-01-08,1,BEVERAGES,1356.0,32
2608852,2608852,2017-01-08,1,BOOKS,1.0,0
2610630,2610630,2017-01-09,1,AUTOMOTIVE,2.0,0
2610631,2610631,2017-01-09,1,BABY CARE,0.0,0
2610632,2610632,2017-01-09,1,BEAUTY,6.0,2
2610633,2610633,2017-01-09,1,BEVERAGES,4100.0,34
2610634,2610634,2017-01-09,1,BOOKS,0.0,0
2612412,2612412,2017-01-10,1,AUTOMOTIVE,3.0,0
2612413,2612413,2017-01-10,1,BABY CARE,0.0,0
2612414,2612414,2017-01-10,1,BEAUTY,10.0,2
2612415,2612415,2017-01-10,1,BEVERAGES,2370.0,35
2612416,2612416,2017-01-10,1,BOOKS,3.0,0
2614194,2614194,2017-01-11,1,AUTOMOTIVE,10.0,0
2614195,2614195,2017-01-11,1,BABY CARE,0.0,0
2614196,2614196,2017-01-11,1,BEAUTY,5.0,1
2614197,2614197,2017-01-11,1,BEVERAGES,2607.0,35
2614198,2614198,2017-01-11,1,BOOKS,0.0,0
2615976,2615976,2017-01-12,1,AUTOMOTIVE,2.0,0
2615977,2615977,2017-01-12,1,BABY CARE,0.0,0
2615978,2615978,2017-01-12,1,BEAUTY,3.0,1
2615979,2615979,2017-01-12,1,BEVERAGES,2430.0,31
2615980,2615980,2017-01-12,1,BOOKS,2.0,0
2617758,2617758,2017-01-13,1,AUTOMOTIVE,3.0,0
2617759,2617759,2017-01-13,1,BABY CARE,0.0,0
2617760,2617760,2017-01-13,1,BEAUTY,4.0,1
2617761,2617761,2017-01-13,1,BEVERAGES,2784.0,43
2617762,2617762,2017-01-13,1,BOOKS,2.0,0
2619540,2619540,2017-01-14,1,AUTOMOTIVE,2.0,0
2619541,2619541,2017-01-14,1,BABY CARE,0.0,0
2619542,2619542,2017-01-14,1,BEAUTY,3.0,0
2619543,2619543,2017-01-14,1,BEVERAGES,2978.0,41
2619544,2619544,2017-01-14,1,BOOKS,2.0,0
2621322,2621322,2017-01-15,1,AUTOMOTIVE,1.0,0
2621323,2621323,2017-01-15,1,BABY CARE,0.0,0
2621324,2621324,2017-01-15,1,BEAUTY,0.0,0
2621325,2621325,2017-01-15,1,BEVERAGES,1342.0,36
2621326,2621326,2017-01-15,1,BOOKS,0.0,0
2623104,2623104,2017-01-16,1,AUTOMOTIVE,3.0,0
2623105,2623105,2017-01-16,1,BABY CARE,0.0,0
2623106,2623106,2017-01-16,1,BEAUTY,1.0,0
2623107,2623107,2017-01-16,1,BEVERAGES,2609.0,41
2623108,2623108,2017-01-16,1,BOOKS,0.0,0
2624886,2624886,2017-01-17,1,AUTOMOTIVE,2.0,0
2624887,2624887,2017-01-17,1,BABY CARE,0.0,0
2624888,2624888,2017-01-17,1,BEAUTY,5.0,1
2624889,2624889,2017-01-17,1,BEVERAGES,2762.0,41
2624890,2624890,2017-01-17,1,BOOKS,2.0,0
2626668,2626668,2017-01-18,1,AUTOMOTIVE,3.0,0
2626669,2626669,2017-01-18,1,BABY CARE,0.0,0
