,id,date,store_nbr,family,sales,onpromotion
0,0,2013-01-01,1,AUTOMOTIVE,0.0,0
1,1,2013-01-01,1,BABY CARE,0.0,0
2,2,2013-01-01,1,BEAUTY,0.0,0
3,3,2013-01-01,1,BEVERAGES,0.0,0
4,4,2013-01-01,1,BOOKS,0.0,0
1782,1782,2013-01-02,1,AUTOMOTIVE,2.0,0
1783,1783,2013-01-02,1,BABY CARE,0.0,0
1784,1784,2013-01-02,1,BEAUTY,2.0,0
1785,1785,2013-01-02,1,BEVERAGES,1091.0,0
1786,1786,2013-01-02,1,BOOKS,0.0,0
3564,3564,2013-01-03,1,AUTOMOTIVE,3.0,0
3565,3565,2013-01-03,1,BABY CARE,0.0,0
3566,3566,2013-01-03,1,BEAUTY,0.0,0
3567,3567,2013-01-03,1,BEVERAGES,919.0,0
3568,3568,2013-01-03,1,BOOKS,0.0,0
5346,5346,2013-01-04,1,AUTOMOTIVE,3.0,0
5347,5347,2013-01-04,1,BABY CARE,0.0,0
5348,5348,2013-01-04,1,BEAUTY,3.0,0
5349,5349,2013-01-04,1,BEVERAGES,953.0,0
5350,5350,2013-01-04,1,BOOKS,0.0,0
7128,7128,2013-01-05,1,AUTOMOTIVE,5.0,0
7129,7129,2013-01-05,1,BABY CARE,0.0,0
7130,7130,2013-01-05,1,BEAUTY,3.0,0
7131,7131,2013-01-05,1,BEVERAGES,1160.0,0
7132,7132,2013-01-05,1,BOOKS,0.0,0
8910,8910,2013-01-06,1,AUTOMOTIVE,2.0,0
8911,8911,2013-01-06,1,BABY CARE,0.0,0
8912,8912,2013-01-06,1,BEAUTY,0.0,0
8913,8913,2013-01-06,1,BEVERAGES,407.0,0
8914,8914,2013-01-06,1,BOOKS,0.0,0
10692,10692,2013-01-07,1,AUTOMOTIVE,0.0,0
10693,10693,2013-01-07,1,BABY CARE,0.0,0
10694,10694,2013-01-07,1,BEAUTY,1.0,0
10695,10695,2013-01-07,1,BEVERAGES,1158.0,0
10696,10696,2013-01-07,1,BOOKS,0.0,0
12474,12474,2013-01-08,1,AUTOMOTIVE,2.0,0
12475,12475,2013-01-08,1,BABY CARE,0.0,0
12476,12476,2013-01-08,1,BEAUTY,3.0,0
12477,12477,2013-01-08,1,BEVERAGES,1029.0,0
12478,12478,2013-01-08,1,BOOKS,0.0,0
14256,14256,2013-01-09,1,AUTOMOTIVE,2.0,0
14257,14257,2013-01-09,1,BABY CARE,0.0,0
14258,14258,2013-01-09,1,BEAUTY,1.0,0
14259,14259,2013-01-09,1,BEVERAGES,1186.0,0
14260,14260,2013-01-09,1,BOOKS,0.0,0
16038,16038,2013-01-10,1,AUTOMOTIVE,2.0,0
16039,16039,2013-01-10,1,BABY CARE,0.0,0
16040,16040,2013-01-10,1,BEAUTY,3.0,0
16041,16041,2013-01-10,1,BEVERAGES,847.0,0
16042,16042,2013-01-10,1,BOOKS,0.0,0
17820,17820,2013-01-11,1,AUTOMOTIVE,3.0,0
17821,17821,2013-01-11,1,BABY CARE,0.0,0
17822,17822,2013-01-11,1,BEAUTY,2.0,0
17823,17823,2013-01-11,1,BEVERAGES,1033.0,0
17824,17824,2013-01-11,1,BOOKS,0.0,0
19602,19602,2013-01-12,1,AUTOMOTIVE,2.0,0
19603,19603,2013-01-12,1,BABY CARE,0.0,0
19604,19604,2013-01-12,1,BEAUTY,0.0,0
19605,19605,2013-01-12,1,BEVERAGES,1143.0,0
19606,19606,2013-01-12,1,BOOKS,0.0,0
21384,21384,2013-01-13,1,AUTOMOTIVE,2.0,0
21385,21385,2013-01-13,1,BABY CARE,0.0,0
21386,21386,2013-01-13,1,BEAUTY,0.0,0
21387,21387,2013-01-13,1,BEVERAGES,572.0,0
21388,21388,2013-01-13,1,BOOKS,0.0,0
23166,23166,2013-01-14,1,AUTOMOTIVE,2.0,0
23167,23167,2013-01-14,1,BABY CARE,0.0,0
23168,23168,2013-01-14,1,BEAUTY,2.0,0
23169,23169,2013-01-14,1,BEVERAGES,1178.0,0
23170,23170,2013-01-14,1,BOOKS,0.0,0
24948,24948,2013-01-15,1,AUTOMOTIVE,1.0,0
24949,24949,2013-01-15,1,BABY CARE,0.0,0
24950,24950,2013-01-15,1,BEAUTY,0.0,0
24951,24951,2013-01-15,1,BEVERAGES,1149.0,0
